"#","Codice","Variante","Descrizione","Barcode","Qta Originale","Qta Certificata","Data Scadenza"
"","32.717,00","1,00","FILETTO MERLUZZO ALLA SICILIANA 400","8017192630054","3,00","3,00","13/11/2025"
"","998,00","1,00","6 LEMON ICE LIQUIRIZIA LOVING 480G","8025916304082","1,00","1,00","13/11/2025"
"","24.403,00","1,00","4 MAXISTECCHI MANDORLATI 320G LOVIN","8025916302477","3,00","3,00","13/11/2025"
"","13.249,00","1,00","TRIS DI VERDURE  600G","8025916302064","2,00","2,00","13/11/2025"
"","18.047,00","1,00","PIZZA 4 FORMAGGI CUCINO IO 350G","8025916109755","5,00","5,00","13/11/2025"
"","27.818,00","1,00","BISTECCHINE DI MARE 300G","8025916303184","4,00","4,00","13/11/2025"
"","32.770,00","1,00","CUORI DI FILETTO DI NASELLO 330G","8025916303863","11,00","11,00","13/11/2025"
"","22.155,00","1,00","VONGOLE C/GUSCIO DEL PACIFICO 500G","8025916302453","5,00","5,00","13/11/2025"
"","14.306,00","1,00","GAMBERI ZUCCHINE C/POM.PESCARE'300G","8025916301715","4,00","4,00","13/11/2025"
"","12.654,00","4,00","GRAN SUGO ALLE VONGOLE CUCINO  350G","8025916302170","5,00","5,00","13/11/2025"
"","27.445,00","1,00","INVOLTINO PRIMAVERA 180G","8053369400112","4,00","4,00","13/11/2025"
