"#","","Invio","Attenzione","Cod.","Diff.","Descrizione","Assort.","Cod.","Diff.","Marchio","Cons.","UMP","UMO","N.imb.","Pz x collo","Peso","Qta","O","Inviate","No ordine","OS attive","09/08","08/08","07/08","06/08","05/08","04/08","03/08","Disponibilita'","UM","Imballo","N.Imb.Strati","N.Strati","Costo","Vendita","Costo","Vendita","%ML","Corsia","N.Ordine host","Reparto","Liv.1","Liv.2","Liv.3","Liv.4","Merceologia"
"undefined","","true","","14.470,00","1,00","MINESTRONE RICETTA GHIOTTA 750G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","8,00","","undefined","","0,00","0,00","0,00","","1 | 0","0 | 1","0 | 1","0 | 1","","","Si"," ","0,00","0,00","0,00","€ 1,32","€ 1,99","€ 10,56","€ 15,92","0,31%","","","SURGELATI","3,00","11,00","11,00","10,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-MINESTRONE"
"undefined","","true","","36.839,00","1,00","VELLUTATA DI ZUCCA E CAROTA 600G","I IN ASSORTIMENTO","","","No","No","PZ","IC","1,00","12,00","","undefined","","0,00","0,00","0,00","","","0 | 1","","","0 | 1","","Si"," ","0,00","0,00","0,00","€ 1,50","€ 2,29","€ 18,00","€ 27,48","0,28%","","","SURGELATI","3,00","11,00","11,00","10,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-MINESTRONE"
"undefined","","true","","36.839,00","2,00","VELLUTATA DI VERDURE  600G","I IN ASSORTIMENTO","","","No","No","PZ","IC","1,00","12,00","","undefined","","0,00","0,00","0,00","","","","","","","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,43","€ 1,99","€ 17,16","€ 23,88","0,21%","","","SURGELATI","3,00","11,00","11,00","10,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-MINESTRONE"
"undefined","","true","","603,00","1,00","PATATE PREFRITTE STICK 1KG","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","1 | 0","0 | 1","0 | 1","1 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,42","€ 1,89","€ 14,20","€ 18,90","0,22%","","","SURGELATI","3,00","11,00","11,00","20,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-PATATE FRITTE"
"undefined","","true","","17.607,00","1,00","PATATE PREFRITTE 2,5KG","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","4,00","","undefined","","0,00","0,00","0,00","","1 | 0","","","2 | 0","","0 | 1","Si"," ","0,00","0,00","0,00","€ 3,55","€ 4,69","€ 14,20","€ 18,76","0,21%","","","SURGELATI","3,00","11,00","11,00","20,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-PATATE FRITTE"
"undefined","","true","","18.022,00","1,00","PATATE A SPICCHIO PREFRITTE 1KG","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","1 | 0","0 | 1","","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,32","€ 1,99","€ 13,20","€ 19,90","0,31%","","","SURGELATI","3,00","11,00","11,00","20,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-PATATE FRITTE"
"undefined","","true","","25.793,00","1,00","PATATE SPICCHI CON BUCCIA 600G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","1 | 0","0 | 1","","0 | 1","","0 | 1","Si"," ","0,00","0,00","0,00","€ 0,96","€ 1,79","€ 9,60","€ 17,90","0,44%","","","SURGELATI","3,00","11,00","11,00","20,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-PATATE FRITTE"
"undefined","","true","","604,00","1,00","PISELLI FINI BUSTA 1KG","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","1 | 0","0 | 1","0 | 1","1 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,28","€ 1,59","€ 12,80","€ 15,90","0,16%","","","SURGELATI","3,00","11,00","11,00","30,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-PISELLI"
"undefined","","true","","29.360,00","1,00","MIX DI CAVOLI E BROCCOLI 450G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","15,00","","undefined","","0,00","0,00","0,00","","","","","","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,08","€ 1,79","€ 16,20","€ 26,85","0,37%","","","SURGELATI","3,00","11,00","11,00","40,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-ALTRE VERDURE"
"undefined","","true","","593,00","1,00","MISTO FUNGHI 300G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","8,00","","undefined","","0,00","0,00","0,00","","1 | 0","","","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,06","€ 1,49","€ 8,48","€ 11,92","0,26%","","","SURGELATI","3,00","11,00","11,00","40,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-ALTRE VERDURE"
