"#","Errore","Invio","Attenzione","Cod.","Diff.","Descrizione","Assort.","Cod.","Diff.","Marchio","Cons.","UMP","UMO","N.imb.","Pz x collo","Peso","Qta","O","Inviate","No ordine","OS attive","18/07","17/07","16/07","15/07","14/07","13/07","12/07","Disponibilita'","UM","Imballo","N.Imb.Strati","N.Strati","Costo","Vendita","Costo","Vendita","%ML","Corsia","N.Ordine host","Reparto","Liv.1","Liv.2","Liv.3","Liv.4","Merceologia","Testa","Num.","Prog.","Riga","Data"
"undefined","No","true","","21.820,00","1,00","BAGUETTE CLASSICA COTTA 260G","I IN ASSORTIMENTO","","","No","No","PZ","IC","5,00","40,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","0 | 1","0 | 1","0 | 2","0 | 1","Si"," ","0,00","0,00","0,00","€ 0,47","€ 0,99","€ 94,00","€ 198,00","50,63%","/////","","SURGELATI","3,00","11,00","20,00","1,00","SURGELATI / GELATI-SURGELATI-PRODOTTI DA FORNO DA DORARE-PRODOTTI DA FORNO DA DORARE","23","1.641.908,00","1,00","10,00","18/07/2025"
"undefined","No","true","","21.823,00","1,00","BAGUETTINO 100% INTEGR. COTTO 130G","I IN ASSORTIMENTO","","","No","No","PZ","IC","1,00","40,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","0 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 0,70","€ 1,59","€ 28,00","€ 63,60","54,21%","/////","","SURGELATI","3,00","11,00","20,00","1,00","SURGELATI / GELATI-SURGELATI-PRODOTTI DA FORNO DA DORARE-PRODOTTI DA FORNO DA DORARE","23","1.641.908,00","1,00","20,00","18/07/2025"
"undefined","No","true","Si","24.413,00","1,00","20 GHIACCIOLI 1200G","S SOSPESO LISTINO/NO COMUNIC.VAR","","","Si","No","PZ","IC","2,00","3,00","","undefined","","0,00","0,00","0,00","","0 | 1","","","","","0 | 2","No","","0,00","0,00","0,00","€ 2,08","€ 3,29","€ 12,48","€ 19,74","30,46%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","30,00","18/07/2025"
"undefined","No","true","","998,00","1,00","6 LEMON ICE LIQUIRIZIA LOVING 480G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","3,00","8,00","","undefined","","0,00","0,00","0,00","","","0 | 1","0 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,48","€ 1,99","€ 35,52","€ 47,76","18,19%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","40,00","18/07/2025"
"undefined","No","true","","25.272,00","1,00","10 GHIACCIOLI LOVING 750G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","2,00","8,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","0 | 1","0 | 1","","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,48","€ 2,49","€ 23,68","€ 39,84","34,62%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","50,00","18/07/2025"
"undefined","No","true","","30.728,00","1,00","4 STECCHI MIX YOGURT GRECO 280G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","0 | 1","","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,32","€ 3,89","€ 23,20","€ 38,90","34,4%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","60,00","18/07/2025"
"undefined","No","true","","35.560,00","2,00","4 STECCHI PISTACCHIO CIOC/B.CO 260","I IN ASSORTIMENTO","","","No","No","PZ","IC","2,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","","0 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,35","€ 3,49","€ 28,20","€ 41,88","25,93%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","70,00","18/07/2025"
"undefined","No","true","","35.560,00","1,00","4 STECCHI CARAM.SALATO E CIOCC 260G","I IN ASSORTIMENTO","","","No","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","2 | 1","0 | 1","","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,16","€ 3,29","€ 12,96","€ 19,74","27,78%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","80,00","18/07/2025"
"undefined","No","true","","24.403,00","1,00","4 MAXISTECCHI MANDORLATI 320G LOVIN","I IN ASSORTIMENTO","","","Si","No","PZ","IC","5,00","6,00","","undefined","","0,00","0,00","0,00","","","","","0 | 1","0 | 1","0 | 2","Si"," ","0,00","0,00","0,00","€ 2,00","€ 2,79","€ 60,00","€ 83,70","21,15%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","90,00","18/07/2025"
"undefined","No","true","","11.189,00","1,00","6 STECCHI RICOPERTI CIOCC.300G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","","0 | 1","","0 | 1","","Si"," ","0,00","0,00","0,00","€ 2,07","€ 3,29","€ 12,42","€ 19,74","30,79%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","100,00","18/07/2025"
